DTM_NAME,n_craters,median_d_km,cov_sqkm,crater_per_km2
HESIODUS,50,0.7620421356986683,340.04,0.14704152452652627
INGHIRAMI02,22,0.7220993395652706,149.96,0.14670578821018937
REINER7,102,0.614734554090735,700.17,0.14567890655126614
BIRTVENT,51,0.7789858521143387,350.49,0.14551057091500472
DOLLANDB,58,0.9695219102553261,399.4,0.14521782674011016
ARAGO2_2,67,0.5918593002984133,462.75,0.14478660183684494
TRANQPIT1,18,0.5881179689977452,124.72,0.14432328415651058
CRISHORSE,39,0.6610987173092361,270.48,0.14418811002661933
HPONDS21,127,0.8808210150255,882.14,0.14396807762940123
ARISTARCH12,99,0.6829227261322964,688.22,0.14384935049838715
HSCARP3,26,0.6681987776984304,180.77,0.14382917519499916
MNDLSHTMTY,116,0.9790441381843307,809.52,0.14329479197549166
THEOPHILUS3,49,0.6797811539674038,342.2,0.14319111630625367
HPONDS23,160,0.8186060225268873,1118.36,0.14306663328445224
COPERNSEC01,77,0.989928646169034,539.4,0.14275120504263997
INACALDERA2,107,0.7501721303211862,755.81,0.1415699712890806
RUMKERDOME3,16,0.8286235882836546,113.05,0.14153029632905795
HLNDPHOTOM1,97,0.9322454260740916,685.86,0.14142827982387077
VITELLO2,46,0.8388201427533595,325.89,0.14115192242781308
SPARIM4,30,0.8710999667479304,213.83,0.14029836786232053
INACALDERA,136,0.6988762038642233,970.31,0.14016139172017192
NEWCRATER9,51,0.6278561348523637,364.18,0.14004063924432972
HPONDS24,138,0.8359453343841392,985.45,0.1400375462986453
SPARIM,80,0.8848195181460741,573.12,0.13958682300390843
INGHIRAMINW,34,0.7768314016483078,243.63,0.13955588392234125
NECTRIMII2,47,0.897592077179679,337.81,0.13913146443266924
ORIENTFLOW1,115,0.8264132509134451,827.99,0.13889056631118732
GRUITHUIS11,17,0.7284980148201348,122.49,0.13878683974201977
VAPORDOME01,115,0.700640867439241,835.57,0.13763059947101977
HORTENSIUS1,89,0.633434070170531,649.16,0.1371002526341734
INACALDER2M,30,0.6208641725145169,218.9,0.13704888076747374
NEWCRATER2,31,1.035401912087135,226.9,0.1366240634640811
KOROLEVM01,60,0.6519266673807651,441.03,0.1360451669954425
ARISTPLAT1,18,0.6417296535094306,132.82,0.1355217587712694
ARISTARCHU3,16,0.7368324858624065,118.18,0.13538669825689625
FOWLERSCRP,28,0.8996377217900832,207.02,0.13525263259588444
AUSTRDARK02,44,1.204353780909133,326.08,0.1349362119725221
SPAWRINKLE1,34,0.6336180775698187,252.41,0.13470147775444713
REINER4,19,0.5807062599012406,141.07,0.13468490820160206
MAREMELT1,69,0.5671151646258025,515.43,0.13386880856760375
GRUITHMARE3,48,0.7562482481019361,359.19,0.13363400985550822
HLNDPHOTOM,130,0.9066146650391949,974.14,0.13345104399778265
SPARIM3,29,0.945374461634841,217.55,0.13330268903700299
KARRER1,21,0.7427547682965694,157.68,0.13318112633181126
FRSHCRATER16,85,0.7332706791153809,638.97,0.13302658966774653
MONSESAM2,91,0.5868484613853145,684.18,0.1330059341109065
CRISHORSE01,21,0.5997464892522607,158.38,0.13259249905291073
VSCHROTERI2,63,0.6930863137637157,477.44,0.13195375335120643
ROSSELAND1,34,0.8610581670157853,257.74,0.1319158842244122
OCNSPRCLRM3,97,0.6755834571311553,737.12,0.13159322769698284
VSCHROTERI,112,0.6601948668584112,851.72,0.13149861456816794
LUNA20_2,17,1.0001572773510294,129.96,0.13080947983995075
