pit_site,lon,lat,terrain,lroc_dtm_product_id,lroc_dtm_url,lroc_dtm_lbl_url,estimated_size_mb,pit_in_catalog,priority_in_registry,resolution_m,coverage_km2,quality,relat_le_m,triang_rms_m
King 34a,119.9975,6.3372,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 34b,119.9972,6.3361,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 37,120.0056,6.3814,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 38,119.9252,6.37,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 39,119.9842,6.6308,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 40,119.9976,6.4779,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 42,120.0066,6.3321,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 12,119.7506,6.2487,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 13a,119.7626,6.2538,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 13b,119.7615,6.2551,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
